0 1 14 -3.75
0.0139939 0.99626 13.9939 -3.73965
0.0279817 0.992531 13.9878 -3.72931
0.0419634 0.988812 13.9817 -3.71899
0.0559391 0.985103 13.9756 -3.70869
0.0699086 0.981405 13.9696 -3.69841
0.0838721 0.977717 13.9635 -3.68814
0.0978295 0.974039 13.9574 -3.67789
0.111781 0.970371 13.9514 -3.66766
0.125726 0.966714 13.9453 -3.65744
0.139665 0.963067 13.9392 -3.64725
0.153599 0.95943 13.9332 -3.63707
0.167526 0.955803 13.9272 -3.62691
0.181447 0.952186 13.9211 -3.61676
0.195362 0.948579 13.9151 -3.60663
0.209271 0.944983 13.9091 -3.59652
0.223174 0.941396 13.9031 -3.58643
0.237071 0.93782 13.897 -3.57636
0.250962 0.934254 13.891 -3.5663
0.264847 0.930697 13.885 -3.55626
0.278726 0.927151 13.879 -3.54623
0.292599 0.923615 13.873 -3.53622
0.306466 0.920089 13.867 -3.52624
0.320327 0.916572 13.8611 -3.51626
0.334182 0.913066 13.8551 -3.50631
0.348032 0.90957 13.8491 -3.49637
0.361875 0.906083 13.8431 -3.48645
0.375712 0.902607 13.8372 -3.47654
0.389543 0.89914 13.8312 -3.46665
0.403368 0.895683 13.8253 -3.45678
0.417188 0.892236 13.8193 -3.44693
0.431001 0.888799 13.8134 -3.43709
0.444808 0.885372 13.8074 -3.42727
0.45861 0.881955 13.8015 -3.41747
0.472406 0.878547 13.7956 -3.40768
0.486195 0.875149 13.7897 -3.39791
0.499979 0.871761 13.7837 -3.38816
0.513757 0.868382 13.7778 -3.37843
0.527529 0.865014 13.7719 -3.36871
0.541295 0.861655 13.766 -3.359
0.555055 0.858305 13.7601 -3.34932
0.568809 0.854966 13.7542 -3.33965
0.582557 0.851636 13.7483 -3.33
0.5963 0.848315 13.7425 -3.32036
0.610036 0.845005 13.7366 -3.31074
0.623767 0.841703 13.7307 -3.30114
0.637492 0.838412 13.7248 -3.29155
0.651211 0.83513 13.719 -3.28199
0.664924 0.831857 13.7131 -3.27243
0.678631 0.828595 13.7073 -3.2629
0.692333 0.825341 13.7014 -3.25338
0.706028 0.822097 13.6956 -3.24387
0.719718 0.818863 13.6897 -3.23439
0.733402 0.815638 13.6839 -3.22492
0.74708 0.812423 13.6781 -3.21546
0.760752 0.809217 13.6723 -3.20603
0.774419 0.80602 13.6665 -3.19661
0.788079 0.802833 13.6606 -3.1872
0.801734 0.799655 13.6548 -3.17781
0.815383 0.796486 13.649 -3.16844
0.829027 0.793327 13.6432 -3.15908
0.842664 0.790178 13.6374 -3.14975
0.856296 0.787037 13.6317 -3.14042
0.869922 0.783906 13.6259 -3.13112
0.883542 0.780784 13.6201 -3.12182
0.897156 0.777672 13.6143 -3.11255
0.910765 0.774568 13.6086 -3.10329
0.924367 0.771474 13.6028 -3.09405
0.937964 0.76839 13.597 -3.08482
0.951556 0.765314 13.5913 -3.07561
0.965141 0.762248 13.5855 -3.06642
0.978721 0.75919 13.5798 -3.05724
0.992295 0.756142 13.5741 -3.04808
1.00586 0.753103 13.5683 -3.03894
1.01943 0.750073 13.5626 -3.02981
1.03298 0.747053 13.5569 -3.02069
1.04653 0.744041 13.5511 -3.01159
1.06008 0.741039 13.5454 -3.00251
1.07362 0.738045 13.5397 -2.99345
1.08715 0.735061 13.534 -2.9844
1.10068 0.732085 13.5283 -2.97536
1.1142 0.729119 13.5226 -2.96634
1.12772 0.726162 13.5169 -2.95734
1.14123 0.723213 13.5113 -2.94836
1.15474 0.720274 13.5056 -2.93938
1.16824 0.717344 13.4999 -2.93043
1.18173 0.714422 13.4942 -2.92149
1.19522 0.71151 13.4886 -2.91257
1.2087 0.708606 13.4829 -2.90366
1.22218 0.705711 13.4772 -2.89477
1.23565 0.702825 13.4716 -2.88589
1.24912 0.699948 13.4659 -2.87703
1.26258 0.69708 13.4603 -2.86819
1.27603 0.694221 13.4547 -2.85936
1.28948 0.69137 13.449 -2.85054
1.30293 0.688528 13.4434 -2.84175
1.31636 0.685695 13.4378 -2.83296
1.3298 0.682871 13.4322 -2.8242
1.34322 0.680056 13.4265 -2.81544
1.35664 0.677249 13.4209 -2.80671
1.37006 0.674451 13.4153 -2.79799
1.38347 0.671662 13.4097 -2.78928
1.39687 0.668881 13.4041 -2.78059
1.41027 0.666109 13.3985 -2.77192
1.42366 0.663346 13.393 -2.76326
1.43705 0.660591 13.3874 -2.75462
1.45043 0.657845 13.3818 -2.74599
1.46381 0.655108 13.3762 -2.73738
1.47718 0.652379 13.3707 -2.72878
1.49054 0.649659 13.3651 -2.7202
1.5039 0.646947 13.3595 -2.71163
1.51726 0.644244 13.354 -2.70308
1.53061 0.64155 13.3484 -2.69454
1.54395 0.638864 13.3429 -2.68602
1.55729 0.636186 13.3373 -2.67752
1.57062 0.633517 13.3318 -2.66903
1.58395 0.630857 13.3263 -2.66055
1.59727 0.628205 13.3208 -2.65209
1.61058 0.625561 13.3152 -2.64365
1.62389 0.622926 13.3097 -2.63522
1.63719 0.620299 13.3042 -2.6268
1.65049 0.61768 13.2987 -2.6184
1.66379 0.61507 13.2932 -2.61002
1.67707 0.612469 13.2877 -2.60165
1.69036 0.609876 13.2822 -2.5933
1.70363 0.607291 13.2767 -2.58496
1.7169 0.604714 13.2712 -2.57663
1.73017 0.602146 13.2657 -2.56832
1.74343 0.599586 13.2603 -2.56003
1.75669 0.597034 13.2548 -2.55175
1.76993 0.59449 13.2493 -2.54348
1.78318 0.591955 13.2439 -2.53523
1.79642 0.589428 13.2384 -2.527
1.80965 0.586909 13.233 -2.51878
